ID,Category,Level,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Tags
Q0001,⏳ 5 سیکنڈ چیلنج,E,پاکستان کا رقبہ کتنا ہے,796096,881913,900000,750000,A,"پاکستان کا کل رقبہ 796,096 مربع کلومیٹر ہے۔","5 سیکنڈ چیلنج, آسان"
Q0002,⏳ 5 سیکنڈ چیلنج,E,وہ کیا چیز ہے جو بانٹنے سے بڑھتی ہے؟,وزن,محبت,پتھر,غصہ,B,درست جواب ہے: محبت۔,"5 سیکنڈ چیلنج, آسان"
Q0003,😈 ٹرک سوالات,E,روشنی کی رفتار تقریباً کتنی ہے؟,30 ہزار کلومیٹر فی سیکنڈ,3 لاکھ کلومیٹر فی سیکنڈ,30 لاکھ کلومیٹر فی سیکنڈ,3 ہزار کلومیٹر فی سیکنڈ,B,درست جواب ہے: 3 لاکھ کلومیٹر فی سیکنڈ۔,"ٹرک سوالات, آسان"
Q0004,🎭 الفاظ کا جادو,E,"""زلف"" کا مطلب کیا ہے؟",عاجز و منکسر,نشہ یا کیفیت,بال,ریگستان,C,"""زلف"" کا مطلب ہے: بال۔","الفاظ کا جادو, آسان"
Q0005,⏳ 5 سیکنڈ چیلنج,E,آستین کا سانپ کس شخص کو کہا جاتا ہے؟,جو سانپ پکڑتا ہو,جو بہت لمبا ہو,جو ظاہر میں اچھا مگر اندر سے دشمن ہو,جو کپڑے سیتا ہو,C,درست جواب ہے: جو ظاہر میں اچھا مگر اندر سے دشمن ہو۔,"5 سیکنڈ چیلنج, آسان"
Q0006,😈 ٹرک سوالات,E,ایک ٹوکری میں 25 پھل تھے، بچوں نے 6 کھا لیے، ٹوکری میں کتنے پھل بچے؟ (سیٹ 15),6,18,19,20,C,25-6=19 پھل بچے۔,"ٹرک سوالات, آسان"
Q0007,😈 ٹرک سوالات,E,ایک ٹوکری میں 15 پھل تھے، بچوں نے 3 کھا لیے، ٹوکری میں کتنے پھل بچے؟ (سیٹ 1),3,11,12,13,C,15-3=12 پھل بچے۔,"ٹرک سوالات, آسان"
Q0008,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,سرخ نیلی سبز قمیضیں ہیں ایک رنگ کی دو قمیض یقینی بنانے کے لیے کتنی نکالیں؟,6,3,5,4,D,Pigeonhole principle,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0009,⏳ 5 سیکنڈ چیلنج,E,آزادی کا مجسمہ کس شہر میں واقع ہے؟,ٹوکیو,نیویارک,پیرس,لندن,B,مجسمۂ آزادی نیویارک میں واقع ہے۔,"5 سیکنڈ چیلنج, آسان"
Q0010,🤯 دماغ کا امتحان,E,16، 21، 26، 31 کے بعد اگلا عدد کیا ہوگا؟,35,36,37,41,B,ہر بار 5 کا اضافہ ہو رہا ہے، لہٰذا اگلا عدد 31+5 = 36 ہوگا۔,"دماغ کا امتحان, آسان"
Q0011,🎭 الفاظ کا جادو,E,ممکن کا متضاد کیا ہے؟,آسان,ناممکن,مشکل,دشوار,B,ناممکن، ممکن کا متضاد ہے۔,"الفاظ کا جادو, آسان"
Q0012,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,اگر ایک درجن کیلے 120 روپے کے ہیں تو 3 کیلے کتنے روپے کے ہوں گے,30,20,25,35,A,ایک کیلا 10 روپے کا ہے، اس لیے 3 کیلے 30 روپے کے ہوں گے۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0013,🎭 الفاظ کا جادو,E,"""بلند"" کا متضاد کیا ہے؟",زوال,جہالت,اضطراب,پست,D,"""بلند"" کا متضاد ""پست"" ہے۔","الفاظ کا جادو, آسان"
Q0014,🎭 الفاظ کا جادو,E,سخاوت کا مترادف کیا ہے؟,لالچ,غربت,کنجوسی,فیاضی,D,درست جواب ہے: B)فیاضی ✓۔,"الفاظ کا جادو, آسان"
Q0015,📖 اردو محاورے,E,کان کھڑے ہونا,غور سے متوجہ ہونا,دوڑنا,کان صاف کرنا,ڈر جانا,A,کان کھڑے ہونا یعنی کسی بات پر فوراً متوجہ ہو جانا۔,"اردو محاورے, آسان"
Q0016,📖 اردو محاورے,E,دال روٹی سے زیادہ نان خطیر,نان خطیر,روٹی دال,آمدنی سے زیادہ خرچ,اچھا کھانا,C,آمدنی سے زیادہ خرچ کرنا۔,"اردو محاورے, آسان"
Q0017,⏳ 5 سیکنڈ چیلنج,E,چاند زمین کا کیا ہے؟,ستارہ,سیارہ,قدرتی سیارہ,کہکشاں,C,چاند زمین کا قدرتی سیارہ ہے۔,"5 سیکنڈ چیلنج, آسان"
Q0018,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,اگر ایک کتاب کی قیمت 100 روپے ہے تو 3 کتابوں کی قیمت کتنی ہوگی؟,300,350,200,250,A,100 × 3 = 300 روپے۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0019,⏳ 5 سیکنڈ چیلنج,E,قلم کی طاقت سے کیا مراد ہے؟,رنگ,آواز,لکھنے کی طاقت,جسمانی طاقت,C,درست جواب ہے: لکھنے کی طاقت۔,"5 سیکنڈ چیلنج, آسان"
Q0020,🎭 الفاظ کا جادو,E,اچھا کا متضاد کیا ہے,برا,مہربان,خوبصورت,نرم,A,اچھا کا مخالف برا ہے۔,"الفاظ کا جادو, آسان"
Q0021,⏳ 5 سیکنڈ چیلنج,E,"""امراؤ جان ادا"" کے مصنف کون ہیں؟",مرزا ہادی رسوا,ابنِ صفی,پریم چند,قرۃ العین حیدر,A,یہ اردو ادب کا ایک مشہور ناول ہے۔,"5 سیکنڈ چیلنج, آسان"
Q0022,⏳ 5 سیکنڈ چیلنج,E,پاکستان کے پہلے وزیراعظم کون تھے؟,بھٹو,قائداعظم,لیاقت علی خان,نواز شریف,C,لیاقت علی خان پاکستان کے پہلے وزیراعظم تھے,"5 سیکنڈ چیلنج, آسان"
Q0023,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,18، 20، 22، 24 کے بعد اگلا عدد کیا ہوگا؟,28,25,26,27,C,ہر بار 2 کا اضافہ ہو رہا ہے، لہٰذا اگلا عدد 24+2 = 26 ہوگا۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0024,⏳ 5 سیکنڈ چیلنج,E,پاکستان میں کل کتنے ڈویژن ہیں,36,30,40,46,A,مروجہ انتظامی تقسیم کے مطابق 36 ڈویژن ہیں۔,"5 سیکنڈ چیلنج, آسان"
Q0025,🎭 الفاظ کا جادو,E,"""بحر"" کا مطلب کیا ہے؟",ریگستان,اندھیرا,سمندر,روزی,C,"""بحر"" کا مطلب ہے: سمندر۔","الفاظ کا جادو, آسان"
Q0026,😈 ٹرک سوالات,E,اگر 20 کا آدھا 10 ہے تو 10 کا آدھا کیا ہوگا؟,5,6,2,4,A,10 ÷ 2 = 5۔,"ٹرک سوالات, آسان"
Q0027,😈 ٹرک سوالات,E,ایک آدمی کے 5 بیٹے ہیں۔ ہر بیٹے کی ایک بہن ہے۔ کل کتنے بچے,6,5,11,10,A,5 بیٹوں کی ایک ہی بہن ہے، کل 6 بچے۔,"ٹرک سوالات, آسان"
Q0028,🤯 دماغ کا امتحان,E,7، 13، 19، 25 کے بعد اگلا عدد کیا ہوگا؟,32,30,31,37,C,ہر بار 6 کا اضافہ ہو رہا ہے، لہٰذا اگلا عدد 25+6 = 31 ہوگا۔,"دماغ کا امتحان, آسان"
Q0029,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,5 افراد ایک دوسرے سے ایک بار ہاتھ ملائیں تو کل کتنے مصافحے؟,10,8,12,15,A,5*4/2=10,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0030,⏳ 5 سیکنڈ چیلنج,E,'غزل' لفظ کا اصل مفہوم کیا تھا؟,تقریر,عورتوں سے گفتگو,نظم,گیت,B,درست جواب ہے: عورتوں سے گفتگو۔,"5 سیکنڈ چیلنج, آسان"
Q0031,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,ایک خاندان میں 6 بیٹے اور 1 بیٹی ہے۔ کل کتنے بچے ہیں؟,6,5,8,7,D,درست جواب ہے: 7۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0032,😈 ٹرک سوالات,E,ایک ٹوکری میں 14 پھل تھے، بچوں نے 12 کھا لیے، ٹوکری میں کتنے پھل بچے؟ (سیٹ 4),3,1,2,12,C,14-12=2 پھل بچے۔,"ٹرک سوالات, آسان"
Q0033,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,اگر آج جمعہ ہے تو 14 دن بعد کون سا دن ہوگا؟,جمعہ,ہفتہ,جمعرات,اتوار,A,جمعہ سے 14 دن آگے شمار کرنے پر دن جمعہ بنتا ہے۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0034,🎭 الفاظ کا جادو,E,نفرت کا متضاد کیا ہے؟,حسد,لالچ,محبت,غصہ,C,نفرت کا متضاد محبت ہے۔,"الفاظ کا جادو, آسان"
Q0035,🧩 دلچسپ پہیلیاں,E,وہ کون سی چیز ہے جو جتنی چلتی ہے اتنا گھٹتی ہے,گاڑی,موم بتی,دریا,ہوا,B,جلنے سے موم بتی چھوٹی ہوتی جاتی ہے۔,"دلچسپ پہیلیاں, آسان"
Q0036,🤯 دماغ کا امتحان,E,9، 18، 27، 36 کے بعد اگلا عدد کیا ہوگا؟,44,46,45,54,C,ہر بار 9 کا اضافہ ہو رہا ہے، لہٰذا اگلا عدد 36+9 = 45 ہوگا۔,"دماغ کا امتحان, آسان"
Q0037,🎭 الفاظ کا جادو,E,"""نظم"" کا متضاد کیا ہے؟",خارج,بیماری,اضطراب,بےترتیبی,D,"""نظم"" کا متضاد ""بےترتیبی"" ہے۔","الفاظ کا جادو, آسان"
Q0038,📖 اردو محاورے,E,"""دل ٹوٹنا"" کا مطلب کیا ہے؟",بہت مایوس یا دکھی ہونا,صحت یاب ہونا,خوش ہونا,ہنسنا,A,"""دل ٹوٹنا"" کا محاورتی مطلب ہے: بہت مایوس یا دکھی ہونا۔","اردو محاورے, آسان"
Q0039,🎭 الفاظ کا جادو,E,محبت کا متضاد کیا ہے؟,نفرت,پیار,رشتہ,دوستی,A,درست جواب ہے: نفرت۔,"الفاظ کا جادو, آسان"
Q0040,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,اگر ایک گھڑی میں وقت 2:30 ہو تو منٹ کی سوئی کس ہندسے پر ہوگی؟,9,5,6,3,C,30 منٹ پر منٹ کی سوئی 6 پر ہوتی ہے۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0041,😈 ٹرک سوالات,E,ایک مربع کے کتنے برابر اضلاع ہوتے ہیں؟,3,2,5,4,D,مربع کے چاروں اضلاع برابر ہوتے ہیں۔,"ٹرک سوالات, آسان"
Q0042,🤯 دماغ کا امتحان,E,5، 14، 23، 32 کے بعد اگلا عدد کیا ہوگا؟,40,42,41,50,C,ہر بار 9 کا اضافہ ہو رہا ہے، لہٰذا اگلا عدد 32+9 = 41 ہوگا۔,"دماغ کا امتحان, آسان"
Q0043,📖 اردو محاورے,E,جس کا کام اسی کو ساجھے,مشکل کام,دوسرے کا کام,ساجھا کام,کام کرنے والا ہی کرے,D,ہر کام اس کے ماہر شخص کو ہی کرنا چاہیے۔,"اردو محاورے, آسان"
Q0044,🎭 الفاظ کا جادو,E,صادق کا متضاد کیا ہے؟,ایماندار,جھوٹا,عاقل,خاموش,B,درست جواب ہے: B)جھوٹا ✓۔,"الفاظ کا جادو, آسان"
Q0045,📖 اردو محاورے,E,ہاتھ بٹانا,چھپ جانا,لڑنا,مدد کرنا,کام چھوڑنا,C,ہاتھ بٹانے سے مراد کسی کی مدد کرنا ہے۔,"اردو محاورے, آسان"
Q0046,👑 صرف ذہین لوگوں کے لیے,E,عالمی یوم صحت کب منایا جاتا ہے؟,5 جون,7 اپریل,1 مئی,10 دسمبر,B,درست جواب ہے: 7 اپریل۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0047,🧩 دلچسپ پہیلیاں,E,وہ کیا ہے جو خود چلتا نہیں مگر سب کو چلاتا ہے,گاڑی,ہوا,وقت,پیسہ,C,وقت خود نہیں چلتا مگر سب کچھ وقت کے مطابق چلتا ہے۔,"دلچسپ پہیلیاں, آسان"
Q0048,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,اگر ایک درخت پر 10 پرندے بیٹھے تھے شکاری نے ایک کو مار دیا تو کتنے بچے,1,0,9,10,B,گولی کی آواز سے باقی پرندے اڑ جائیں گے۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0049,🧩 دلچسپ پہیلیاں,E,وہ کون سی چیز ہے جو زیادہ رکھنے سے کم ہو جاتی ہے؟,راز,پانی,کھانا,دولت,A,یہ ایک لطیف پہیلی ہے جس کا جواب ہے: راز۔,"دلچسپ پہیلیاں, آسان"
Q0050,⏳ 5 سیکنڈ چیلنج,E,بلوچستان,سندھ,خیبر پختونخوا,A,پنجاب,C,درست جواب ہے: A۔,"5 سیکنڈ چیلنج, آسان"
